episode;reward;average
232;-118.95853141085644;134.07093998625106
233;-72.55607407068416;134.75385964913013
234;272.4750046821349;139.9437031385801
235;194.27577189542865;139.37586777098556
236;186.62490296707068;140.46734994435138
237;220.1785963528921;143.15927085327485
238;243.2116146479483;147.40594604361374
239;2.89735797421676;147.82254038203556
240;251.71735952141364;151.0441391572192
241;-56.22762864913466;148.36105257227084
242;295.1841108926483;151.10277887256277
243;258.0231996901776;151.07518321501936
244;208.82337235704705;153.1167214925558
245;10.185399060511486;152.73282194956
246;54.54670890810299;151.60340204985073
247;281.8642926263663;151.81797125545742
248;271.5221997005509;155.18104960490766
249;11.933372379316282;152.3690311885916
250;217.1197850517023;151.65641948975673
251;193.00427891570945;152.7118720878611
252;-45.375011113627814;152.1341796821136
253;246.58766298421187;152.17053000696345
254;173.96381995601848;151.810091294083
255;-163.39166144710578;152.13840345267866
256;-95.91078972008846;149.15985843395413
257;165.55397076733445;148.587336754488
258;230.42036080849073;148.2784797520328
259;256.4081851846902;148.55770527330168
260;277.9802239815011;149.73753492308242
261;220.18961276804094;149.09386681451693
262;-28.62731186642124;146.46578474794046
263;-24.144046470764952;146.2533305240091
264;-50.12974031880887;142.923086856307
265;262.9419939406588;142.80565675491553
266;118.82916780773485;141.417919795877
267;-146.7830649837645;137.33561248698032
268;241.9576841118674;139.34438505759152
269;23.48987049339048;139.6121064190052
270;245.92698576941714;142.08855755023535
271;248.912463290856;143.11241896703422
272;217.68844284038403;143.13449016345263
273;269.3194771603024;143.24664835274444
274;256.5180577707372;147.3163574909298
275;274.29923377668945;150.36292133330912
276;257.51913014329375;149.90248481509963
277;244.92675447628056;149.60493099228714
278;261.24663845290047;150.85054410777104
279;221.47255476610863;150.50090579223007
280;131.44843054888875;149.34669527215618
281;-106.80389433054086;147.92441178126546
282;246.18583511738308;150.35915632434663
283;211.61967519809247;150.383495001537
284;-109.40245820591294;149.40760861752057
285;-55.54885187313251;146.9818121205184
286;8.48951633277909;145.38530143157567
287;299.79027862857225;146.035415530982
288;-255.20876373159945;143.99488973017122
289;-480.5521949105655;136.22997025291795
290;-414.3561562829652;133.3188676508166
291;-270.0802399891876;128.0832700129613
292;-313.1759902817134;122.55553109271186
293;-340.15428812257073;116.32167977258638
294;-245.06727444089523;111.31620566394007
295;-351.2507464612968;104.66277613604748
296;-218.81748750460588;99.65156620536656
297;-250.08271578176362;94.31841461225935
298;-150.3480867109556;89.9859539290054
299;-92.57747780911154;85.83994399213567
300;-190.7946338134791;81.37959851234754
301;-203.36895979664644;79.5413931105394
302;-253.17768805254386;74.5107766513213
303;-80.0248129696812;71.13994591243612
304;-22.003972211578706;68.60157561740903
305;-92.6207853600254;67.61833729493117
306;-2.5987824722811865;68.20822468690999
307;-78.85805942621117;67.37081797893818
308;15.833768542453031;64.51549367979572
309;198.47455241189328;68.0146947210453
310;242.49160617231814;71.2843970049348
311;-175.40213765499013;66.73277619372305
312;322.2627755396185;67.24872197296885
313;-9.238805077610085;64.46097988623507
314;-27.688489470872636;61.852213872107185
315;-28.734485682375812;59.43653549873187
316;43.14202843124926;57.309117311364204
317;258.6186102499688;61.51681527115986
318;202.19560161133396;61.454752196268956
319;-94.69290784466978;57.77419235743705
320;-2.6058253265200477;55.3758193145106
321;251.29647526268369;55.79267204303664
322;-61.28429584933716;52.88718577676441
323;260.57790755405097;53.053544798389815
324;225.69727343621537;56.10163664996652
325;98.35334449611638;54.93799640636787
326;-25.90966184472918;54.86822505361908
327;199.15598519873896;54.307363896149624
328;226.5850604588099;54.536465236172305
329;221.3450912446503;57.19210036466899
330;150.3532580838042;61.50889613771846
331;256.1088460803352;61.55230750132477
332;253.44609052791375;65.27635372071246
333;241.34602143589996;68.41537467577831
334;119.34157023996286;66.88404033135659
335;198.0384862127113;66.92166747452943
336;-106.10004495606421;63.994417995298065
337;-523.2636587915456;56.55999544385368
338;307.1043210318934;57.19892250769313
339;268.48871792455043;59.85483610719647
340;276.71955464687755;60.10485805845111
341;273.1971626659048;63.399105971601514
342;265.3293276082327;63.10055813875735
343;250.1373711367446;63.02169985322303
344;-80.25347448112242;60.13093138484134
345;226.27779642757963;62.29185535851201
346;277.60009486854153;64.5223892181164
347;228.9190012336057;63.99293630418878
348;298.5171244891183;64.26288555207445
349;-7.1978366899005835;64.0715734613823
350;199.69263224227166;63.89730193328799
351;268.54475423412805;64.65270668647219
352;68.25770387768785;65.78903383638534
353;251.07139008815238;65.83387110742474
354;295.0917394707468;67.04515030257203
355;295.10326125649703;71.63009952960805
356;249.194671090879;75.08115413771773
357;300.4349079108024;76.4299635091524
358;238.96085510660254;76.51536845213352
359;282.7809643865219;76.77909624415183
360;244.77181102556744;76.4470121145925
361;250.58975716023411;76.75101355851443
362;58.8593683278474;77.62588036045713
363;223.97981009800827;80.10711892614485
364;14.818824600627877;80.75660457533922
365;273.3273962472665;80.86045859840529
366;289.00268801942786;82.56219380052222
367;159.36063981578184;85.62363084851769
368;169.72331791643404;84.90128718656337
369;-40.39350534915976;84.26245342813785
370;272.244856154561;84.5256321319893
371;248.02523232145109;84.51675982229526
372;255.1058758477165;84.89093415236856
373;241.48503174929368;84.61258969825847
374;213.89665136950566;84.18637563424616
375;-91.68981384181004;80.52648515806118
376;214.12450229379246;80.09253887956618
377;167.98080632078626;79.32307939801122
378;-35.5750553039113;76.3548624604431
379;240.1008155432477;76.54114506821449
380;255.1732748822693;77.77839351154829
381;283.5592501354826;81.68202495620852
382;-119.56651339681905;78.0245014710665
383;236.76926805185587;78.27599739960415
384;289.81765334884864;82.26819851515177
385;289.9821792026871;85.72350882590996
386;271.98054408911537;88.35841910347331
387;285.57453456577696;88.2162616628454
388;46.105628919638065;91.22940558935774
389;-230.8824560223356;93.72610297824006
390;281.65354565247833;100.68619999759449
391;24.208875067580635;103.62909114816217
392;-6.557151253561258;106.6952795384437
393;-228.8743161310121;107.80807925835927
394;257.99654587869725;112.8387174615552
395;190.95849352119154;118.26080986138008
396;-28.518476796102775;120.16379996846509
397;286.52129968894724;125.52984012317219
398;94.36195314533907;127.97694052173514
399;228.842561017666;131.19114091000293
400;253.7584646664346;135.63667189480205
401;266.31676385988703;140.33352913136738
402;112.64123417184514;143.99171835361128
403;264.02930166374205;147.43225949994553
404;283.0332127836514;150.48263134989784
405;233.65706646089683;153.74540986810706
406;154.11098246192688;155.31250751744915
407;189.34781462424658;157.9945662579537
408;271.539902561187;160.55162759814107
409;140.99237623550476;159.97680583637717
410;230.73920914168292;159.8592818660708
411;258.0787531892754;164.19409077451346
412;209.2330360852931;163.0637933799702
413;90.52963620858068;164.06147779283208
414;233.4892672215982;166.6732553597568
415;268.5296951757468;169.64589716833805
416;-4.295437774972231;169.1715225062758
417;152.8520230316482;168.11385663409266
418;212.8986080938442;168.22088669891775
419;197.33455440703233;171.14116132143477
420;24.43187733040088;171.41153834800397
421;260.7865482410666;171.5064390777878
422;254.72284786446087;174.6665105149258
423;228.8104577111207;174.34883601649645
424;233.3049512608244;174.4249127947425
425;259.0505190505306;176.0318845402867
426;271.740497784579;179.0083861365798
427;270.1670196910056;179.71849648150246
428;312.9695303333219;180.58234118024757
429;313.479584443586;181.50368611223695
430;269.2291209424075;182.69244474082296
431;249.37969506252375;182.62515323064486
432;243.11009004446421;182.5217932258103
433;284.8499026727942;182.95683203817936
434;252.51938575668353;184.28861019334653
435;-126.25060735167371;181.0457192577027
436;248.6876674189035;184.59359638145233
437;63.27284642297573;190.45896143359758
438;280.24856890940407;190.1904039123727
439;45.11149660607552;187.95663169918788
440;281.87286812965647;188.00816483401567
441;247.04132238629572;187.74660643121956
442;259.78213613094385;187.69113451644674
443;261.2006215240705;187.80176702031997
444;31.10319170234186;188.9153336821546
445;30.448434130952194;186.95704005918833
446;317.95528962551566;187.36059200675805
447;54.78176855582191;185.61921967998023
448;258.77779059744546;185.2218263410635
449;54.86167952303421;185.84242150319287
450;134.0813270684098;185.18630845145424
451;-9.918558737304004;182.4016753217399
452;264.74960006824466;184.36659428364547
453;261.3445403301017;184.4693257860649
454;25.999343461767808;181.77840182597515
455;253.85864673088335;181.36595568071905
456;222.18690398448913;181.09587800965517
457;276.65227798159816;180.8580517103631
458;288.19426153864663;181.35038577468356
459;250.58300114599615;181.0284061422783
460;261.57053021748146;181.1963933341974
461;288.5637536058041;181.57613329865316
462;265.8731826086174;183.64627144146084
463;306.0381036543365;184.46685437702416
464;261.524063972971;186.93390677074757
465;-65.82866375449078;183.54234617072999
466;-81.30976210430924;179.83922166949262
467;245.09809196208317;180.6965961909556
468;-57.372842975004744;178.4256345820412
469;245.07372962057852;181.2803069317386
470;23.435868310184944;178.79221705329482
471;282.5778991358874;179.1377437214392
472;254.77429061230487;179.13442786908507
473;249.00091378598924;179.20958668945204
474;271.22940427114736;179.78291421846848
475;284.49527791147256;183.5447651360013
476;178.83887664556852;183.19190887951902
477;308.86567980124505;184.60075761432364
478;237.09624839145508;187.32747065127734
479;240.5637653852887;187.33210014969774
480;239.2355280195981;187.17272268107104
481;154.75025376557429;185.88463271737194
482;292.84650933935495;190.0087629447337
483;-4.080879057445145;187.60026147364064
484;268.4701751193145;187.3867866913453
485;59.898208750545024;185.08594698682387
486;237.85888908781433;184.74473043681087
487;78.98826857252223;182.67886777687832
488;261.8402754762857;184.8362142424448
489;262.5268364712325;189.77030716738045
490;71.78219925810981;187.67159370343677
491;260.2253513498674;190.0317584662597
492;240.18492751963336;192.4991792539916
493;260.28501331452907;197.39077254844702
494;6.420034683715798;194.87500743649724
495;18.987401197869133;193.155296513264
496;256.79176174479625;196.008398898673
497;278.4020275579886;195.92720617736342
498;288.02980369821;197.8638846828921
499;232.011155009296;197.89557062280838
500;-171.83551357126228;193.6396308404314
501;241.6910477320426;193.39337367915294
502;242.46158265375166;194.69157716397203
503;251.3364212784468;194.5646483601191
504;263.1565311699462;194.36588154398206
505;176.87863694907801;193.79809724886385
506;276.15645225069295;195.0185519467515
507;233.22778164146573;195.45735161692366
508;248.68494908932928;195.2288020822051
509;262.8535628277982;196.44741394812806
510;219.75768151163487;196.33759867182755
511;214.05966949127526;195.89740783484754
512;225.68231413969636;196.06190061539158
513;263.54334986809954;197.79203775198678
514;266.18541680219187;198.11899924779277
515;227.27825807153658;197.70648487675066
516;264.79305675359916;200.39736982203635
517;227.99140870386415;201.1487636787585
518;257.5669074281439;201.5954466721015
519;224.9284178084588;201.8713853061158
520;236.40202683056637;203.9910868011174
521;269.0178881422786;204.07340020012958
522;244.81832228047097;203.97435494428967
523;250.39564527937532;204.19020681997227
524;276.72308016192864;204.62438810898328
525;268.3358365304426;204.7172412837824
526;234.18572662776785;204.34169357221427
527;287.9802500440017;204.51982587574423
528;290.3804073481852;204.29393464589288
529;68.17190998595427;201.84085790131655
530;42.09498959392846;199.5695165878318
531;293.1587897963136;200.00730753516967
532;-24.71832913149663;197.32902334341006
533;170.727110655531;196.18779542323745
534;253.04399880075772;196.19304155367817
535;161.3464948888398;199.06901257608325
536;202.7019973239171;198.6091558751334
537;52.77513325545081;198.50417874345817
538;282.12054734934816;198.52289852785762
539;-372.244491526311;194.34933864653374
540;-65.99425770507084;190.87066738818646
541;-110.1905916092178;187.2983482482313
542;-220.8179587853486;182.49234729906843
543;-120.36242025980317;178.67671688122965
544;-87.31410987739834;177.49254386543228
545;-200.90410844879455;175.17901843963477
546;-70.3285255068299;171.29618028831135
547;213.64716501841127;172.88483425293722
548;128.74600132927904;171.58451636025558
549;234.87514529716162;173.38465101799687
550;256.6582736884784;174.61042048419753
551;46.968526115777664;175.17929133272838
552;210.86659061827265;174.64046123822862
553;172.4177863283917;173.75119369821152
554;190.71938938144598;175.39839415740832
555;232.37506286423306;175.1835583187418
556;254.65203123275353;175.50820959122444
557;272.13601153104173;175.46304692671893
558;154.64771599332025;174.12758147126561
559;215.95499393088025;173.78130139911448
560;134.73713475374524;172.5129674444771
561;260.6869120444543;172.23419902886363
562;265.2336413610045;172.22780361638746
563;217.2845863388538;171.34026844323265
564;263.73521217334746;171.36237992523638
565;297.2027971173317;174.99269453395456
566;226.2079128448165;178.06787128344587
567;281.1136340381732;178.42802670420681
568;228.33177732438827;181.28507290720074
569;239.3735005930977;181.22807061692592
570;264.82418962879626;183.64195383011204
571;281.89825955503716;183.63515743430352
572;15.65379114603428;181.2439524396408
573;272.9437645235464;181.48338094701634
574;246.31517829987794;181.23423868730367
575;306.36986870692283;181.45298459525816
576;281.1603939818784;182.4761997686213
577;253.57539579725818;181.92329692858146
578;167.1002319690764;181.22333676435767
579;284.5807218909751;181.66350632941456
580;246.83176071440275;181.73946865636256
581;238.33907342697145;182.57535685297654
582;289.10653505322455;182.53795711011523
583;226.1337303908602;184.84010320459828
584;261.2525346762334;184.76792680016743
585;284.0198247774041;187.00914296043604
586;287.71986427143054;187.50775271227224
587;283.1535156965933;189.54940518351293
588;267.9281622459382;189.61028405120945
589;286.37737190735356;189.84878940557073
590;250.9293375179976;191.64026078816963
591;245.93946488508726;191.4974019235218
592;241.3476567786567;191.509029216112
593;48.71022463980586;189.39328132936475
594;11.000556246877153;189.43908654499634
595;-13.228240741650751;189.1169301256012
596;47.02685952144975;187.01928110336772
597;229.60404916675614;186.53130131945537
598;71.05428851212862;184.36154616759458
599;-116.39410422723448;180.87749357522924
600;208.90045055074756;184.68485321644934
601;258.3740691522124;184.85168343065106
602;234.68389792154375;184.77390658332897
603;277.2965828600319;185.0335081991448
604;248.0726870755496;184.88266975820082
605;222.04021490608238;185.33428553777088
606;238.2337665589815;184.95505868085377
607;180.19942649914447;184.42477512943057
608;253.43882789017465;184.472313917439
609;188.4770994017433;183.72854928317847
610;256.24011572893085;184.09337362535146
611;279.7122023368054;184.74989895380673
612;282.76676711772484;185.32074348358708
613;249.81175188066868;185.18342750371278
614;96.65250112295993;183.48809834692045
615;277.55204196328066;183.99083618583782
616;264.8505125398061;183.99141074369996
617;300.3101480230657;184.71459813689194
618;241.43587843376477;184.55328784694814
619;282.8493616727311;185.13249728559086
620;231.04623362633;185.0789393535485
621;-11.11544602680779;182.2776060118576
622;145.7258477216894;181.28668126626985
623;248.50857278803167;181.26781054135637
624;254.88861259259775;181.04946586566305
625;231.79824964223738;180.684089996781
626;263.6116503758093;180.97834923426143
627;284.62826688860605;180.94482940270748
628;260.0372402010926;180.6413977312365
629;272.0995023333597;182.68067365471063
630;250.30355457536132;184.7627593045249
631;260.52248812270386;184.43639628778885
632;294.90973516435656;187.6326769307474
633;251.10574766997857;188.4364633008919
634;274.1068942228293;188.6470922551126
635;243.64226162141142;189.4700499224383
636;250.3626070302442;189.94665601950157
637;290.0846040762053;192.3197507277091
638;241.4212943864261;191.91275819807987
639;237.0621388632349;198.00582450197533
640;245.68352752673556;201.12260235429338
641;286.78181627785705;205.09232643316417
642;255.86730469303717;209.85917906794802
643;277.6379820906402;213.83918309145247
644;241.50542965478408;217.12737848677426
645;269.525485856263;221.83167442982486
646;237.3315169165615;224.90827485405876
647;298.58333980835647;225.75763660195818
648;272.66424674489815;227.1968190561144
649;265.26372646426347;227.50070486778543
650;279.75550698541787;227.73167720075483
651;277.84179742492233;230.04040991384625
652;264.4821905995515;230.57656591365904
653;288.15953239430866;231.7339833743182
654;270.9148763294592;232.53593824379837
655;306.16261364127405;233.27381375156875
656;212.2131567252972;232.84942500649422
657;204.3155608861731;232.17122050004554
658;247.8186934400568;233.10293027451291
659;257.8042630760988;233.52142296596512
660;182.6095699538115;234.00014731796574
661;247.7822735695106;233.87110093321633
662;232.61980183966227;233.54496253800284
663;223.26702224413663;233.6047868970557
664;274.6933400287381;233.7143681756096
665;269.7884932239348;233.44022513667562
666;299.89270606063576;234.1770730688338
667;306.590461847733;234.43184134692945
668;275.9627247683238;234.9081508213688
669;290.3281129598195;235.41769694503597
670;271.44381337762405;235.48389318252427
671;266.86679759205714;235.33357856289447
672;232.00112137347944;237.4970518651689
673;264.920943465666;237.41682365459008
674;227.4962469348001;237.22863434093932
675;222.1342383704775;236.38627803757484
676;247.82938421492625;236.05296793990527
677;185.46086294370429;235.37182261136977
678;50.33515821801191;234.20417187385908
679;224.96497493801914;233.60801440432954
680;252.05777084687293;233.66027450565431
681;124.54110203067411;232.5222947916913
682;285.72151283894095;232.48844456954848
683;260.2635838404134;232.82974310404404
684;36.14053598639978;230.5786231171457
685;252.66910407023417;230.26511591007403
686;241.39469821704998;229.80186424953018
687;220.2548804359667;229.1728778969239
688;133.1357813144988;227.8249540876095
689;240.96930467714063;227.3708734153074
690;259.7385305188534;227.45896534531596
691;258.85770443548085;227.58814774081992
692;239.23182949959997;227.56698946802936
693;262.4769666634214;229.7046568882655
694;253.3270622791149;232.12792194858787
695;283.22749313066527;235.092479287311
696;264.6867211947683;237.26907790404414
697;276.9866134870597;237.74290354724724
698;239.89934137038463;239.4313540758298
699;55.9592702611194;241.15488782071333
700;277.69595653647633;241.8428428805706
701;275.84383634541496;242.01754055250265
702;285.1366337888587;242.5220679111758
703;163.13303308343228;241.38043241340984
704;242.41758668947872;241.3238814095491
705;291.11623316765065;242.01464159216476
706;261.6452472992758;242.24875639956772
707;295.1259222803334;243.39802135737966
708;273.1636927133362;243.59527000561124
709;124.23362210294839;242.9528352326233
710;287.2875640249124;243.2633097155831
711;193.83014189832477;242.40448911119827
712;181.9112477214348;241.39593391723534
713;5.9642353789218845;238.9574587522179
714;206.0025009132238;240.05095875012051
715;262.38745870685386;239.89931291755624
716;210.180651529358;239.35261430745177
717;189.37673052081183;238.24328013242928
718;-17.333716243368457;235.65558418565794
719;-6.967565072893778;232.75741491820173
720;279.3312722841572;233.24026530478
721;251.60000165454554;235.86741978159353
722;233.22461745073565;236.7424074788839
723;243.2989847983316;236.6903115989869
724;279.7758485134284;236.9391839581952
725;281.1433679120173;237.432635140893
726;160.27738984003906;236.39929253553532
727;282.6398853963974;236.37940872061324
728;290.19264741633583;236.68096279276568
729;276.91632821417215;236.72913105157383
730;262.89339323457455;236.85502943816596
731;294.1487606670486;237.1912921636094
732;269.99338443590386;236.94212865632485
733;238.55203227745122;236.8165915023996
734;265.2409994086343;236.7279325542576
735;276.15146124753784;237.0530245505189
736;296.3403847804505;237.51280232802094
737;300.28831608133305;237.61483944807225
738;-17.281021971270135;235.0278162844953
739;265.28972553500455;235.31009215121298
740;271.05238812662725;235.5637807572119
741;162.07580639249284;234.31672065835824
742;290.2805268120426;234.6608528795483
743;231.8803290968465;234.20327634961038
744;28.600214814456308;232.0742242012071
745;278.5209007525267;232.16417835016975
746;277.09479220103947;232.56181110301455
747;272.3716159383712;232.2996938643147
748;245.5877181824947;232.02892857869065
749;247.8076272383365;231.85436758643132
750;258.1215824295643;231.63802834087284
751;252.6112311590118;231.3857226782137
752;230.08744368798952;231.04177520909812
753;263.7923265354593;230.79810315050963
754;285.99774682854684;230.9489318555005
755;277.1946673187979;230.65925239227573
756;270.7632248331591;231.24475307335433
